owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
pallets,flask,4037,2021-05-13 22:27:48+00:00,,,davidism,manual_or_unknown
scrapy,scrapy,5180,2021-06-29 12:54:23+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5079,2021-07-13 16:27:56+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5157,2021-08-05 19:23:12+00:00,,,Gallaecio,manual_or_unknown
psf,requests,4986,2021-08-07 02:26:11+00:00,,,nateprewitt,manual_or_unknown
scrapy,scrapy,5212,2021-08-11 09:19:51+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4665,2021-08-24 07:18:49+00:00,,,wRAR,manual_or_unknown
psf,requests,5921,2021-09-04 21:37:49+00:00,,,nateprewitt,manual_or_unknown
psf,requests,2949,2021-09-08 22:43:04+00:00,,,sigmavirus24,manual_or_unknown
scrapy,scrapy,5237,2021-10-01 07:50:42+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5273,2021-10-12 17:20:09+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5298,2021-11-04 14:00:15+00:00,,,wRAR,manual_or_unknown
pallets,flask,4295,2021-11-15 21:37:50+00:00,,,davidism,manual_or_unknown
psf,requests,5888,2021-11-24 19:28:59+00:00,,,nateprewitt,manual_or_unknown
psf,requests,2228,2021-11-28 03:00:28+00:00,,,sethmlarson,manual_or_unknown
scrapy,scrapy,5319,2021-12-21 12:49:32+00:00,,,wRAR,manual_or_unknown
pallets,flask,4355,2021-12-23 00:36:53+00:00,,,davidism,manual_or_unknown
psf,requests,4362,2021-12-29 02:32:57+00:00,,,nateprewitt,manual_or_unknown
psf,requests,5855,2021-12-30 21:36:55+00:00,,,nateprewitt,manual_or_unknown
psf,requests,5891,2021-12-30 21:40:47+00:00,,,nateprewitt,manual_or_unknown
scrapy,scrapy,4976,2021-12-31 19:38:10+00:00,,,Gallaecio,manual_or_unknown
psf,requests,6027,2022-01-04 16:04:26+00:00,,,sigmavirus24,manual_or_unknown
scrapy,scrapy,4485,2022-01-06 06:32:00+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4962,2022-01-28 17:30:30+00:00,,,elacuesta,manual_or_unknown
scrapy,scrapy,5383,2022-02-04 08:57:58+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5391,2022-02-08 13:57:19+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5400,2022-02-08 19:06:25+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5404,2022-02-10 09:50:12+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5414,2022-02-14 18:16:53+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5425,2022-02-23 18:52:18+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5286,2022-03-08 09:22:57+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5444,2022-03-15 10:31:07+00:00,,,Gallaecio,manual_or_unknown
pallets,flask,4297,2022-03-15 15:37:18+00:00,,,davidism,manual_or_unknown
scrapy,scrapy,5435,2022-04-07 15:00:09+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5437,2022-04-08 09:55:06+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5464,2022-04-13 17:17:45+00:00,,,Gallaecio,manual_or_unknown
psf,requests,6104,2022-06-01 17:38:01+00:00,,,nateprewitt,manual_or_unknown
scrapy,scrapy,4762,2022-06-07 16:44:55+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5515,2022-06-27 18:03:01+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,5612,2022-09-07 07:58:12+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5602,2022-10-02 19:19:09+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,5424,2022-10-15 08:11:07+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5323,2022-10-26 07:47:10+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5685,2022-10-27 12:02:13+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5709,2022-11-10 14:38:48+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5750,2022-12-12 18:49:25+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5740,2022-12-15 05:22:02+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5762,2023-01-02 15:13:46+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5765,2023-01-06 18:51:09+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5749,2023-01-06 18:53:21+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5785,2023-01-07 19:48:41+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5386,2023-01-19 18:45:00+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4763,2023-01-29 21:23:47+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5825,2023-02-14 08:40:40+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5811,2023-03-07 09:27:01+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5819,2023-03-10 15:20:17+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5831,2023-03-14 08:31:15+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5857,2023-03-27 10:44:46+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5875,2023-03-28 10:05:49+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5878,2023-03-29 08:06:10+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5500,2023-04-11 11:06:14+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5874,2023-04-11 16:25:43+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5872,2023-04-13 09:44:22+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5886,2023-05-02 19:05:32+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5043,2023-06-13 14:14:29+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5707,2023-06-21 18:05:41+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5959,2023-06-24 14:23:19+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5933,2023-06-25 09:41:24+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5992,2023-08-01 18:19:00+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5957,2023-08-08 17:19:15+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6008,2023-08-10 11:48:45+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5096,2023-09-07 05:47:44+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6044,2023-09-12 14:18:27+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6056,2023-09-22 08:12:22+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5936,2023-10-02 16:40:28+00:00,,,wRAR,manual_or_unknown
psf,requests,6544,2023-10-06 22:34:25+00:00,,,nateprewitt,manual_or_unknown
scrapy,scrapy,6024,2023-10-17 13:08:25+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5989,2023-10-17 17:07:14+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5154,2023-10-29 17:06:14+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6121,2023-10-31 13:37:27+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6160,2024-01-05 20:04:07+00:00,,,wRAR,manual_or_unknown
