owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url
psf,requests,747,"requests.{post,patch} set Content-Type to application/x-www-form-urlencoded even when ``data`` arg is a string",closed,2012-07-30T20:18:22Z,2012-08-04T15:39:39Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/747
psf,requests,738,pip install error on py3k,closed,2012-07-25T05:47:28Z,2012-07-27T06:11:43Z,7,Bug;Contributor Friendly,https://github.com/psf/requests/issues/738
psf,requests,697,Catch UnicodeError coming from encodings/idna.py,closed,2012-06-26T18:31:32Z,2012-08-13T21:14:51Z,6,Bug;Contributor Friendly,https://github.com/psf/requests/issues/697
psf,requests,649,CaseInsensitiveDict __setitem__ faulty for differing-case keys,closed,2012-06-03T00:59:23Z,2012-07-27T05:54:43Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/649
psf,requests,639,safe mode doesn't work when not returning response,closed,2012-05-28T11:28:42Z,2012-12-18T20:15:20Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/639
psf,requests,637,Dict data is not being properly urlencoded,closed,2012-05-27T00:01:10Z,2012-06-15T18:32:14Z,7,Bug,https://github.com/psf/requests/issues/637
psf,requests,627,Failure to get through digest page which redirects to temporary AWS url,closed,2012-05-22T13:57:29Z,2012-11-27T18:36:34Z,31,Bug;Contributor Friendly,https://github.com/psf/requests/issues/627
psf,requests,606,Allow specifying the ssl protocol version to use,closed,2012-05-11T17:32:54Z,2012-07-27T06:10:49Z,20,Bug,https://github.com/psf/requests/issues/606
psf,requests,605,async broken on Windows,closed,2012-05-10T21:41:00Z,2012-05-10T23:35:07Z,2,Bug,https://github.com/psf/requests/issues/605
psf,requests,602,requests.head redirect timeout (on only linux environments?),closed,2012-05-09T19:55:44Z,2012-07-27T06:14:15Z,7,Bug;Planned,https://github.com/psf/requests/issues/602
psf,requests,539,iter_lines small chunks,closed,2012-04-06T15:04:40Z,2012-05-08T05:09:24Z,15,Bug,https://github.com/psf/requests/issues/539
psf,requests,537,requests.get throws TooManyRedirects in safe_mode,closed,2012-04-06T01:50:52Z,2012-05-04T01:49:58Z,3,Bug,https://github.com/psf/requests/issues/537
psf,requests,520,requests leaves a hanging connection for each request,closed,2012-03-29T07:19:00Z,2012-08-06T04:38:28Z,62,Bug,https://github.com/psf/requests/issues/520
psf,requests,500,Async requests don't honor timeout param,closed,2012-03-20T05:07:44Z,2012-05-10T22:05:42Z,13,Bug,https://github.com/psf/requests/issues/500
psf,requests,498,App Engine Fixes,closed,2012-03-19T02:03:45Z,2012-07-27T05:29:28Z,30,Bug;Contributor Friendly;GAE Support,https://github.com/psf/requests/issues/498
psf,requests,496,Response.ok raises Timeout Exception in safe_mode,closed,2012-03-19T00:21:18Z,2012-04-06T01:45:25Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/496
psf,requests,458,"requests should send ""Connection: close"" if keep-alive is disabled",closed,2012-02-26T23:17:29Z,2012-06-15T18:41:19Z,6,Bug,https://github.com/psf/requests/issues/458
psf,requests,424,Unicode header dict values cause unhandled exception,closed,2012-02-13T21:27:39Z,2012-07-27T06:00:53Z,1,Bug,https://github.com/psf/requests/issues/424
psf,requests,353,'allow_redirects' cause a post request to hang,closed,2012-01-11T11:06:54Z,2012-07-27T06:05:18Z,6,Bug,https://github.com/psf/requests/issues/353
psf,requests,339,"ConnectionError in requests, not urllib2",closed,2012-01-06T05:18:41Z,2012-04-12T22:53:39Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/339
psf,requests,338,"LookupError in requests, not in urllib2",closed,2012-01-06T05:07:45Z,2012-03-16T01:15:28Z,11,Bug;Contributor Friendly,https://github.com/psf/requests/issues/338
psf,requests,337,"TooManyRedirects in requests, not in urllib2",closed,2012-01-06T05:06:43Z,2012-08-25T15:09:13Z,9,Bug;Contributor Friendly,https://github.com/psf/requests/issues/337
psf,requests,335,CookieError in requests and not in urllib2,closed,2012-01-06T04:30:34Z,2012-03-09T16:58:39Z,29,Bug;Contributor Friendly,https://github.com/psf/requests/issues/335
psf,requests,296,ConnectionError with Python 2.5 and SSL site,closed,2011-11-29T14:20:07Z,2012-01-23T08:06:13Z,10,Bug,https://github.com/psf/requests/issues/296
psf,requests,293,Proxy authentication broken with 0.76 -> 0.83 upgrade.,closed,2011-11-28T17:25:20Z,2012-03-31T07:16:31Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/293
psf,requests,291,models.Request.sent never set to `True`?,closed,2011-11-27T16:16:40Z,2011-11-27T16:29:58Z,1,Bug,https://github.com/psf/requests/issues/291
psf,requests,286,Session Cookie doublequotes bug,closed,2011-11-23T17:47:01Z,2012-01-30T06:15:36Z,11,Bug,https://github.com/psf/requests/issues/286
